,HR_mean,HRV_RMSSD,HRV_MeanNN,HRV_LFHF,RSP_mean,RRV_RMSSD,RRV_MeanBB,label,ID
71,0.006989662,1.0,1.0,0.0,0.460725038,0.098677944,0.255693702,1,20
72,0.0,0.911051692,0.982103419,0.004316843,0.423508293,0.374817169,0.298981714,1,20
73,0.217235809,0.387240095,0.69713182,0.079431444,0.526923183,0.077739737,0.199244404,1,20
74,0.300306152,0.366281856,0.601192502,0.267117196,0.272221839,0.271182071,0.406021121,1,20
75,0.338252088,0.298458086,0.559670359,1.0,0.0,1.0,1.0,1,20
76,1.0,0.0,0.0,0.429797475,1.0,0.0,0.0,0,20
77,0.944652422,0.107003271,0.037846745,0.184635081,0.690326729,0.043080714,0.111202745,0,20
78,0.0,1.0,1.0,0.183025667,0.263223248,0.14664135,0.493497328,1,30
79,0.177331165,0.254536239,0.765780197,0.0,0.25594522,0.0,0.515513899,1,30
80,0.348767037,0.25019963,0.5642312,0.890013428,0.0,0.013461028,1.0,1,30
81,0.386997286,0.273487279,0.52371213,0.640792979,0.079076199,0.221160854,0.813724582,1,30
82,0.468132178,0.186929268,0.46030989,0.521759319,0.193110101,0.224990111,0.612287452,1,30
83,0.502484347,0.050290732,0.407244995,1.0,0.99618825,1.0,0.030646189,0,30
84,1.0,0.0,0.0,0.240005091,1.0,0.364096499,0.0,0,30
85,0.0,0.0,1.0,0.0,0.337017039,0.572113583,0.562134287,1,24
86,0.409033901,0.354875218,0.581158187,0.02287416,0.563045886,0.851053199,0.382285168,1,24
87,0.187539673,0.489027456,0.808294606,1.0,0.201395587,0.506802115,0.752239389,1,24
88,0.502543788,0.297879,0.487492942,0.574858111,0.0,0.49921521,1.0,1,24
89,1.0,1.0,0.0,0.318760711,0.226064023,0.0,0.705142398,1,24
90,0.599815206,0.885608951,0.38826559,0.631693065,1.0,1.0,0.0,0,24
91,0.05102164,0.376046215,0.943610547,0.012000882,0.53466809,0.428396491,0.245782266,1,25
92,0.005081129,1.0,0.996518867,0.252378336,0.588501672,0.346218785,0.245587939,1,25
93,0.13118593,0.421265948,0.853335948,0.0,0.050453644,0.687502024,0.902411588,1,25
94,0.09184756,0.0,0.89739164,0.138971505,0.0,1.0,1.0,1,25
95,0.0,0.113478037,1.0,0.276195372,0.246919934,0.414056979,0.569689977,1,25
96,1.0,0.193410598,0.0,1.0,1.0,0.0,0.0,0,25
97,0.212971279,0.925772729,0.75707867,0.979858667,0.449553221,0.221465195,0.417777627,1,31
98,0.171322348,0.771775049,0.805118227,0.152644551,0.613271389,0.0,0.24252438,1,31
99,0.0,1.0,1.0,0.0,0.232580186,0.477660155,0.697621205,1,31
100,0.217975937,0.021766458,0.750863831,1.0,0.0,0.181549345,1.0,1,31
101,0.218341584,0.109781928,0.750035186,0.110704386,0.204848453,0.000449654,0.738747793,1,31
102,1.0,0.0,0.0,0.839914617,1.0,1.0,0.0,0,31
103,0.0,0.597992308,1.0,0.090034498,0.79987866,0.0,0.115070806,1,33
104,0.65280513,0.245501027,0.322148441,0.04232738,0.512532866,0.330304802,0.34701396,1,33
